SSID,BSSID,Signal Strength,current BSSID,x,y
eduroam,44:12:44:6d:cd:b1,-55.0,1,536,655
eduroam,44:12:44:6d:cd:b1,-55.0,1,536,652
eduroam,44:12:44:6d:cd:b1,-60.0,1,536,587
eduroam,44:12:44:6d:cd:b1,-59.0,1,475,651
eduroam,44:12:44:6d:cd:b1,-55.0,1,561,700
eduroam,44:12:44:6d:cd:b1,-52.0,1,541,762
eduroam,44:12:44:6d:9b:41,-67.0,1,892,748
eduroam,44:12:44:6b:8f:61,-56.0,1,893,685
eduroam,44:12:44:69:61:31,-48.0,1,893,585
eduroam,44:12:44:69:61:31,-77.0,1,737,580
eduroam,44:12:44:6d:cd:b1,-66.0,1,396,581
eduroam,44:12:44:6d:cd:b1,-67.5,1,430,568
eduroam,44:12:44:6d:ec:11,-54.666666666666664,1,355,666
eduroam,44:12:44:6d:ec:11,-66.0,1,396,581
eduroam,44:12:44:6d:ec:11,-65.33333333333333,1,364,581
eduroam,44:12:44:6a:57:f1,-54.333333333333336,1,331,530
eduroam,44:12:44:6a:57:f1,-54.666666666666664,1,276,500
eduroam,44:12:44:6a:57:f1,-59.5,1,262,646
eduroam,44:12:44:6b:da:91,-52.5,1,238,750
eduroam,44:12:44:6a:57:f1,-69.66666666666667,1,163,594
eduroam,44:12:44:69:be:31,-54.333333333333336,1,231,478
eduroam,44:12:44:69:be:31,-61.666666666666664,1,131,491
eduroam,44:12:44:69:be:31,-56.0,1,132,394
eduroam,44:12:44:69:be:31,-60.0,1,131,269
eduroam,44:12:44:6e:40:11,-60.0,1,131,269
eduroam,44:12:44:6a:58:81,-62.0,1,232,244
eduroam,44:12:44:6a:58:81,-50.0,1,225,176
eduroam,44:12:44:6a:58:81,-59.0,1,290,201
eduroam,44:12:44:6a:58:81,-66.0,1,290,296
eduroam,44:12:44:69:9d:f1,-61.333333333333336,1,264,395
eduroam,44:12:44:69:9d:f1,-65.33333333333333,1,241,495
eduroam,44:12:44:6a:05:d1,-42.0,1,504,590
eduroam,44:12:44:6a:05:d1,-59.666666666666664,1,504,656
